NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCR;PCR;PERC_PCR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS
CATALUNYA;CATALUNYA;2020-09-28;2020-10-04;No;243.625;1.24265;106.1507;8075;1773.5787;134918;6.1931;465;91;48
CATALUNYA;CATALUNYA;2020-09-28;2020-10-04;--;;;0.0000;151;0.0000;1863;4.6790;41;11;0
CATALUNYA;CATALUNYA;2020-09-28;2020-10-04;Si;;;449.3722;291;6922.8037;4483;7.7399;31;1;31
CATALUNYA;CATALUNYA;2020-09-27;2020-10-03;No;239.756;1.2234;105.0465;7991;1768.6754;134545;6.1060;468;92;58
CATALUNYA;CATALUNYA;2020-09-27;2020-10-03;--;;;0.0000;156;0.0000;1812;4.9189;40;9;0
CATALUNYA;CATALUNYA;2020-09-27;2020-10-03;Si;;;444.7395;288;6788.4553;4396;7.8063;33;1;34
CATALUNYA;CATALUNYA;2020-09-26;2020-10-02;--;;;0.0000;148;0.0000;1688;4.9880;37;9;0
CATALUNYA;CATALUNYA;2020-09-26;2020-10-02;Si;;;449.3722;291;6907.3613;4473;7.6883;34;1;33
CATALUNYA;CATALUNYA;2020-09-26;2020-10-02;No;227.003;1.16434;104.4549;7946;1761.5636;134004;6.0322;480;96;58
CATALUNYA;CATALUNYA;2020-09-25;2020-10-01;--;;;0.0000;147;0.0000;1634;5.0932;34;7;0
CATALUNYA;CATALUNYA;2020-09-25;2020-10-01;Si;;;308.8469;200;5815.5875;3766;6.2614;34;1;31
CATALUNYA;CATALUNYA;2020-09-25;2020-10-01;No;207.956;1.08197;100.1826;7621;1720.6151;130889;5.8764;468;92;61
CATALUNYA;CATALUNYA;2020-09-24;2020-09-30;No;191.968;1.01082;92.7816;7058;1629.6738;123971;5.6631;464;85;63
CATALUNYA;CATALUNYA;2020-09-24;2020-09-30;--;;;0.0000;133;0.0000;1489;4.6353;38;4;0
CATALUNYA;CATALUNYA;2020-09-24;2020-09-30;Si;;;319.6565;207;6166.1287;3993;5.8791;31;0;33
CATALUNYA;CATALUNYA;2020-09-23;2020-09-29;--;;;0.0000;119;0.0000;1349;4.5968;36;2;0
CATALUNYA;CATALUNYA;2020-09-23;2020-09-29;Si;;;267.1525;173;6232.5308;4036;4.8652;39;0;31
CATALUNYA;CATALUNYA;2020-09-23;2020-09-29;No;184.997;0.975863;91.4802;6959;1606.8399;122234;5.6423;448;81;57
CATALUNYA;CATALUNYA;2020-09-22;2020-09-28;--;;;0.0000;111;0.0000;1318;4.3110;34;5;0
CATALUNYA;CATALUNYA;2020-09-22;2020-09-28;Si;;;168.3215;109;6129.0671;3969;2.7754;43;1;25
CATALUNYA;CATALUNYA;2020-09-22;2020-09-28;No;181.074;0.951934;89.8370;6834;1573.3186;119684;5.6828;437;86;49
CATALUNYA;CATALUNYA;2020-09-21;2020-09-27;No;179.362;0.951153;89.9027;6839;1551.6941;118039;5.7744;434;82;51
CATALUNYA;CATALUNYA;2020-09-21;2020-09-27;--;;;0.0000;109;0.0000;1268;4.0000;28;3;0
CATALUNYA;CATALUNYA;2020-09-21;2020-09-27;Si;;;162.1446;105;5668.8852;3671;2.9609;43;1;26
CATALUNYA;CATALUNYA;2020-09-20;2020-09-26;Si;;;171.4100;111;5664.2525;3668;3.2847;44;1;21
CATALUNYA;CATALUNYA;2020-09-20;2020-09-26;No;181.063;0.95917;90.9281;6917;1561.1195;118756;5.8035;447;85;45
CATALUNYA;CATALUNYA;2020-09-20;2020-09-26;--;;;0.0000;100;0.0000;1249;3.5743;30;5;0
CATALUNYA;CATALUNYA;2020-09-19;2020-09-25;--;;;0.0000;99;0.0000;1248;3.5743;32;5;0
CATALUNYA;CATALUNYA;2020-09-19;2020-09-25;Si;;;191.4850;124;5727.5661;3709;3.4296;41;1;25
CATALUNYA;CATALUNYA;2020-09-19;2020-09-25;No;188.573;0.996106;90.5074;6885;1572.4115;119615;5.7561;443;81;48
CATALUNYA;CATALUNYA;2020-09-18;2020-09-24;No;208.46;1.15371;92.0192;7000;1551.6941;118039;5.9709;461;79;46
CATALUNYA;CATALUNYA;2020-09-18;2020-09-24;--;;;0.0000;100;0.0000;1179;4.0448;35;5;0
CATALUNYA;CATALUNYA;2020-09-18;2020-09-24;Si;;;220.8255;143;5855.7376;3792;4.1112;36;1;23
CATALUNYA;CATALUNYA;2020-09-17;2020-09-23;Si;;;220.8255;143;5733.7430;3713;4.4377;33;1;17
CATALUNYA;CATALUNYA;2020-09-17;2020-09-23;No;229.898;1.23883;97.1328;7389;1591.9196;121099;6.1336;470;80;49
CATALUNYA;CATALUNYA;2020-09-17;2020-09-23;--;;;0.0000;109;0.0000;1174;4.8527;34;6;0
CATALUNYA;CATALUNYA;2020-09-16;2020-09-22;--;;;0.0000;113;0.0000;1065;5.6298;35;6;0
CATALUNYA;CATALUNYA;2020-09-16;2020-09-22;Si;;;285.6834;185;5721.3891;3705;5.7195;31;2;15
CATALUNYA;CATALUNYA;2020-09-16;2020-09-22;No;238.152;1.29265;98.0925;7462;1510.9032;114936;6.5545;476;77;56
CATALUNYA;CATALUNYA;2020-09-15;2020-09-21;No;239.468;1.30603;100.3798;7636;1453.7462;110588;7.0071;494;63;61
CATALUNYA;CATALUNYA;2020-09-15;2020-09-21;--;;;0.0000;116;0.0000;1010;5.9656;32;4;0
CATALUNYA;CATALUNYA;2020-09-15;2020-09-21;Si;;;271.7852;176;5427.9846;3515;6.4164;29;1;16
CATALUNYA;CATALUNYA;2020-09-14;2020-09-20;No;237.414;1.31329;98.6709;7506;1393.5130;106006;7.1305;506;64;61
CATALUNYA;CATALUNYA;2020-09-14;2020-09-20;--;;;0.0000;118;0.0000;945;7.3514;40;4;0
CATALUNYA;CATALUNYA;2020-09-14;2020-09-20;Si;;;301.1257;195;5963.8340;3862;6.0526;30;1;19
CATALUNYA;CATALUNYA;2020-09-13;2020-09-19;--;;;0.0000;123;0.0000;940;7.9521;40;4;0
CATALUNYA;CATALUNYA;2020-09-13;2020-09-19;Si;;;362.8951;235;6013.2495;3894;7.0530;25;1;19
CATALUNYA;CATALUNYA;2020-09-13;2020-09-19;No;230.8;1.28728;97.8427;7443;1364.4218;103793;7.1958;503;63;62
CATALUNYA;CATALUNYA;2020-09-12;2020-09-18;No;225.269;1.25468;98.8023;7516;1329.5465;101140;7.4703;501;64;59
CATALUNYA;CATALUNYA;2020-09-12;2020-09-18;--;;;0.0000;131;0.0000;931;8.8106;36;5;0
CATALUNYA;CATALUNYA;2020-09-12;2020-09-18;Si;;;421.5760;273;5979.2763;3872;8.0000;28;1;15
CATALUNYA;CATALUNYA;2020-09-11;2020-09-17;No;194.01;1.08026;88.6671;6745;1142.3793;86902;7.6775;467;64;58
CATALUNYA;CATALUNYA;2020-09-11;2020-09-17;--;;;0.0000;114;0.0000;828;8.6420;32;5;0
CATALUNYA;CATALUNYA;2020-09-11;2020-09-17;Si;;;375.2490;243;5112.9607;3311;8.1815;29;1;16
CATALUNYA;CATALUNYA;2020-09-10;2020-09-16;--;;;0.0000;109;0.0000;767;9.0546;33;6;0
CATALUNYA;CATALUNYA;2020-09-10;2020-09-16;Si;;;370.6163;240;5446.5154;3527;7.4015;32;1;18
CATALUNYA;CATALUNYA;2020-09-10;2020-09-16;No;179.9;1.0079;88.4436;6728;1138.4751;86605;7.9543;472;66;57
CATALUNYA;CATALUNYA;2020-09-09;2020-09-15;--;;;0.0000;112;0.0000;842;8.1608;33;6;0
CATALUNYA;CATALUNYA;2020-09-09;2020-09-15;Si;;;311.9353;202;5752.2738;3725;5.8111;27;0;18
CATALUNYA;CATALUNYA;2020-09-09;2020-09-15;No;167.258;0.950223;86.1431;6553;1108.2008;84302;7.9450;469;71;56
CATALUNYA;CATALUNYA;2020-09-08;2020-09-14;No;162.184;0.938145;82.9750;6312;1088.7847;82825;7.7637;465;70;54
CATALUNYA;CATALUNYA;2020-09-08;2020-09-14;--;;;0.0000;118;0.0000;856;8.5919;39;7;0
CATALUNYA;CATALUNYA;2020-09-08;2020-09-14;Si;;;321.2007;208;6200.1019;4015;5.2228;24;0;19
CATALUNYA;CATALUNYA;2020-09-07;2020-09-13;--;;;0.0000;125;0.0000;897;7.8588;33;7;0
CATALUNYA;CATALUNYA;2020-09-07;2020-09-13;Si;;;276.4179;179;5702.8583;3693;5.2928;28;0;12
CATALUNYA;CATALUNYA;2020-09-07;2020-09-13;No;160.328;0.93109;82.1074;6246;1083.2373;82403;7.7717;469;74;53
CATALUNYA;CATALUNYA;2020-09-06;2020-09-12;--;;;0.0000;130;0.0000;894;7.8767;34;5;0
