NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCR;PCR;PERC_PCR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS
ALT CAMP;01;2020-09-28;2020-10-04;No;115.203;2.65476;27.4072;12;1057.4639;463;1.9824;1;0;0
ALT CAMP;01;2020-09-28;2020-10-04;Si;;;198.4126;1;1190.4761;6;20.0000;0;0;0
ALT CAMP;01;2020-09-27;2020-10-03;No;107.454;2.47619;22.8393;10;1048.3281;459;2.0000;1;0;0
ALT CAMP;01;2020-09-27;2020-10-03;Si;;;198.4126;1;992.0634;5;25.0000;0;0;0
ALT CAMP;01;2020-09-26;2020-10-02;No;100.874;2.20833;22.8393;10;1052.8960;461;1.9912;1;0;0
ALT CAMP;01;2020-09-26;2020-10-02;Si;;;198.4126;1;992.0634;5;25.0000;0;0;0
ALT CAMP;01;2020-09-25;2020-10-01;No;76.8654;1.52976;15.9875;7;918.1436;402;1.7766;1;0;0
ALT CAMP;01;2020-09-25;2020-10-01;Si;;;198.4126;1;1190.4761;6;16.6667;0;0;0
ALT CAMP;01;2020-09-24;2020-09-30;No;48.1938;0.844048;15.9875;7;931.8472;408;1.7456;1;0;0
ALT CAMP;01;2020-09-24;2020-09-30;Si;;;198.4126;1;1190.4761;6;16.6667;0;0;0
ALT CAMP;01;2020-09-23;2020-09-29;No;32.1383;0.469048;13.7036;6;906.7239;397;1.2788;1;0;0
ALT CAMP;01;2020-09-23;2020-09-29;Si;;;198.4126;1;1388.8888;7;16.6667;0;0;0
ALT CAMP;01;2020-09-22;2020-09-28;No;18.2715;0.25;9.1357;4;950.1187;416;0.9780;1;0;0
ALT CAMP;01;2020-09-22;2020-09-28;Si;;;0.0000;0;1190.4761;6;0.0000;0;0;0
ALT CAMP;01;2020-09-21;2020-09-27;No;22.1676;0.269608;15.9875;7;909.0078;398;1.7722;0;0;0
ALT CAMP;01;2020-09-21;2020-09-27;Si;;;0.0000;0;1190.4761;6;0.0000;0;0;0
ALT CAMP;01;2020-09-20;2020-09-26;No;31.5644;0.383894;20.5554;9;906.7239;397;2.2843;0;0;0
ALT CAMP;01;2020-09-20;2020-09-26;Si;;;0.0000;0;1190.4761;6;0.0000;0;0;0
ALT CAMP;01;2020-09-19;2020-09-25;No;47.2663;0.544608;22.8393;10;931.8472;408;2.4691;0;0;0
ALT CAMP;01;2020-09-19;2020-09-25;Si;;;0.0000;0;1190.4761;6;0.0000;0;0;0
ALT CAMP;01;2020-09-18;2020-09-24;No;106.159;1.22318;34.2590;15;1073.4514;470;3.0702;0;0;0
ALT CAMP;01;2020-09-18;2020-09-24;Si;;;0.0000;0;8531.7460;43;0.0000;0;0;0
ALT CAMP;01;2020-09-17;2020-09-23;No;144.802;1.40889;41.1109;18;1094.0069;479;4.1126;1;0;0
ALT CAMP;01;2020-09-17;2020-09-23;Si;;;0.0000;0;8928.5714;45;0.0000;1;0;0
ALT CAMP;01;2020-09-16;2020-09-22;No;169.187;1.5761;54.8145;24;1073.4514;470;5.7522;1;0;0
ALT CAMP;01;2020-09-16;2020-09-22;Si;;;0.0000;0;8531.7460;43;0.0000;1;0;0
ALT CAMP;01;2020-09-15;2020-09-21;No;208.554;1.57437;63.9503;28;986.6617;432;7.2115;1;0;0
ALT CAMP;01;2020-09-15;2020-09-21;Si;;;0.0000;0;8730.1587;44;0.0000;1;0;0
ALT CAMP;01;2020-09-14;2020-09-20;No;220.454;1.55683;66.2342;29;986.6617;432;6.7797;1;0;0
ALT CAMP;01;2020-09-14;2020-09-20;Si;;;198.4126;1;28174.6031;142;0.8621;1;0;0
ALT CAMP;01;2020-09-13;2020-09-19;No;199.639;1.45683;61.6663;27;982.0939;430;6.3260;1;0;0
ALT CAMP;01;2020-09-13;2020-09-19;Si;;;198.4126;1;28174.6031;142;0.8621;1;0;0
ALT CAMP;01;2020-09-12;2020-09-18;No;218.314;1.34629;63.9503;28;959.2545;420;7.5000;1;0;0
ALT CAMP;01;2020-09-12;2020-09-18;Si;;;198.4126;1;28174.6031;142;0.8621;1;0;0
ALT CAMP;01;2020-09-11;2020-09-17;No;116.108;0.736764;52.5306;23;746.8481;327;8.8050;1;0;0
ALT CAMP;01;2020-09-11;2020-09-17;Si;;;198.4126;1;20833.3333;105;0.9615;1;0;0
ALT CAMP;01;2020-09-10;2020-09-16;No;108.655;0.679621;61.6663;27;671.4781;294;9.4077;0;0;0
ALT CAMP;01;2020-09-10;2020-09-16;Si;;;198.4126;1;20436.5079;103;0.9804;0;0;0
ALT CAMP;01;2020-09-09;2020-09-15;No;114.192;0.757544;52.5306;23;653.2066;286;10.3943;0;0;1
ALT CAMP;01;2020-09-09;2020-09-15;Si;;;198.4126;1;20436.5079;103;0.9804;0;0;0
ALT CAMP;01;2020-09-08;2020-09-14;No;139.263;0.89669;68.5181;30;662.3424;290;10.6762;1;0;1
ALT CAMP;01;2020-09-08;2020-09-14;Si;;;198.4126;1;20039.6825;101;0.9901;0;0;0
ALT CAMP;01;2020-09-07;2020-09-13;No;166.227;0.997001;75.3699;33;566.4169;248;14.1079;4;0;1
ALT CAMP;01;2020-09-07;2020-09-13;Si;;;0.0000;0;595.2380;3;0.0000;0;0;0
ALT CAMP;01;2020-09-06;2020-09-12;No;187.654;1.0955;75.3699;33;575.5527;252;14.4033;4;0;1
ALT CAMP;01;2020-09-06;2020-09-12;Si;;;0.0000;0;595.2380;3;0.0000;0;0;0
ALT CAMP;01;2020-09-05;2020-09-11;No;213.836;1.17033;98.2093;43;580.1205;254;15.5102;4;0;1
ALT CAMP;01;2020-09-05;2020-09-11;Si;;;0.0000;0;595.2380;3;0.0000;0;0;0
ALT CAMP;01;2020-09-04;2020-09-10;No;227.62;1.18644;105.0612;46;655.4905;287;13.5036;4;0;1
ALT CAMP;01;2020-09-04;2020-09-10;Si;;;0.0000;0;396.8253;2;0.0000;0;0;0
ALT CAMP;01;2020-09-03;2020-09-09;No;235.787;1.09827;98.2093;43;689.7496;302;12.7148;4;0;1
ALT CAMP;01;2020-09-03;2020-09-09;Si;;;0.0000;0;595.2380;3;0.0000;0;0;0
ALT CAMP;01;2020-09-02;2020-09-08;No;201.015;0.898088;98.2093;43;726.2927;318;9.8361;4;0;0
ALT CAMP;01;2020-09-02;2020-09-08;Si;;;198.4126;1;16865.0793;85;1.1765;0;0;0
ALT CAMP;01;2020-09-01;2020-09-07;No;163.694;0.787602;86.7896;38;771.9714;338;9.9071;3;0;0
ALT CAMP;01;2020-09-01;2020-09-07;Si;;;198.4126;1;17261.9047;87;1.1494;0;0;0
ALT CAMP;01;2020-08-31;2020-09-06;No;161.972;0.787978;91.3575;40;771.9714;338;10.4938;0;0;0
ALT CAMP;01;2020-08-31;2020-09-06;Si;;;198.4126;1;17063.4920;86;1.1628;0;0;0
ALT CAMP;01;2020-08-30;2020-09-05;No;170.023;0.818053;95.9254;42;787.9590;345;10.2102;0;0;0
ALT CAMP;01;2020-08-30;2020-09-05;Si;;;198.4126;1;17063.4920;86;1.1628;0;0;0
ALT CAMP;01;2020-08-29;2020-09-04;No;186.309;0.971114;84.5057;37;817.6502;358;9.5376;0;0;0
ALT CAMP;01;2020-08-29;2020-09-04;Si;;;198.4126;1;17063.4920;86;1.1628;0;0;0
ALT CAMP;01;2020-08-28;2020-09-03;No;240.978;1.22686;86.7896;38;865.6130;379;9.8093;0;0;0
